Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
1963.01.14,14-Jan-63,1963,1,Provoked,NEW ZEALAND,North Island,"Petone Beach, Wellington",Fishing,UNKNOWN,14,Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT,N,Afternoon,Gray Reef Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.14-Alexander.pdf
1963.01.12,12-Jan-63,1963,1,Provoked,SOUTH AFRICA,Eastern Cape Province,Humewood,Fishing,M,UNKNOWN,Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.12-Mankowitz.pdf
1963.01.11,11-Jan-63,1963,1,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti","Free diving, hunting crayfish",M,27,Lacerations & punctures on left  forearm,N,12h15,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.11-Blackmore.pdf
1963.01.06,06-Jan-63,1963,1,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",Spearfishing,M,24,Lacerations to right  arm,N,16h00,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.06-Passmore.pdf
1963.01.04,04-Jan-63,1963,1,Provoked,AUSTRALIA,South Australia,Off Franklin Island between Streaky Bay & Ceduna,Shark fishing,UNKNOWN,UNKNOWN,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.04-AlfDean.pdf
1963.01.00,Jan-63,1963,1,Boat,MOZAMBIQUE,UNKNOWN,"Limpopo River, 547 km from the sea",UNKNOWN,UNKNOWN,UNKNOWN,"No injury to occupant. Shark tore chunk from canoe, then bumped 2 other canoes",N,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.01.00-JopieAveres.pdf
1963.00.00.b,Early 1963,1963,0,Unprovoked,FIJI,Vita Levu,Korolevu (South coast between Nadi & Suva),UNKNOWN,UNKNOWN,UNKNOWN,No details,UNKNOWN,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.00.00.b-NV-Fiji.pdf
1963.00.00.a,1963,1963,0,Unprovoked,SEYCHELLES,UNKNOWN,UNKNOWN,Fishing for turtles,M,UNKNOWN,Fatal,Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1963.00.00.a-Seychelles.pdf
1962.12.30,30-Dec-62,1962,12,Provoked,SOUTH AFRICA,KwaZulu-Natal,Shark tank at Oceanographic Research Institute,Scuba diving,M,UNKNOWN,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,N,10h30,Dusky Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.12.30-Roets.pdf
1962.12.09,09-Dec-62,1962,12,Unprovoked,AUSTRALIA,South Australia,Carrickalinga Head,Spearfishing,M,16,"FATAL, right leg bitten thigh to calf  ",Y,14h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.12.09-Corner.pdf
1962.12.00,Dec-62,1962,12,Boat,SOUTH AFRICA,Western Cape Province,Swartklip,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck",N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.12.00-Swift.pdf
1962.11.29,29-Nov-62,1962,11,Unprovoked,AUSTRALIA,New South Wales,Sydney,"Spearfishing, Scuba diving",M,26,"No injury, shark bit spear & dragged diver 90'",N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.11.29-May.pdf
1962.11.25,25-Nov-62,1962,11,Invalid,AUSTRALIA,Queensland,Townsville,UNKNOWN,M,UNKNOWN,"Skeletonized, except for head & feet. Possible drowning / scavenging",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.11.25-Meikel.pdf
1962.11.11,11-Nov-62,1962,11,Unprovoked,USA,California,Farallon Islands,Spearfishing / Scuba diving (at surface),M,24,"Arm, hand, buttock, leg and thigh bitten",N,12h45 / 13h45,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.11.11-LeroyFrench_Collier.pdf
1962.11.10,10-Nov-62,1962,11,Boat,AUSTRALIA,New South Wales,Off Kisma,Fishing,UNKNOWN,UNKNOWN,No injury to occupants. Shark rammed boat as they were pulling in a flathead,N,UNKNOWN,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.11.10-Bullman-Campbell-boat.pdf
