,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
273,M,Children,Swimming,USA,5,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
275,F,Youth,Swimming,USA,5,2016,Bull shark,Unprovoked,N,LOWER EXTREMITIES
277,M,Adult,Swimming,USA,5,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
278,F,Youth,Teasing,USA,5,2016,Non defined,Provoked,N,OTHERS
280,M,Adult,Fishing,NEW ZEALAND,5,2016,Non defined,Provoked,N,LOWER EXTREMITIES
281,M,Youth,Surfing,INDONESIA,4,2016,Bull shark,Unprovoked,N,OTHERS
284,M,Children,Swimming,AUSTRALIA,4,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
285,M,Youth,Spearfishing,FRENCH POLYNESIA,4,2016,Non defined,Provoked,N,LOWER EXTREMITIES
286,M,Young Adult,Spearfishing,FRENCH POLYNESIA,4,2016,Non defined,Provoked,N,OTHERS
288,F,Senior,Walking,NEW CALEDONIA,4,2016,Tiger shark,Unprovoked,Y,FATAL
316,M,Adult,boarding,USA,1,2016,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
318,M,Children,Wading,AUSTRALIA,1,2016,Non defined,Unprovoked,N,OTHERS
319,M,Young Adult,Spearfishing,AUSTRALIA,1,2016,Non defined,Unprovoked,N,LOWER EXTREMITIES
322,M,Senior,boarding,USA,12,2015,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
323,M,Adult,Surfing,AUSTRALIA,12,2015,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
329,M,Adult,Snorkeling,ECUADOR,11,2015,Non defined,Unprovoked,N,OTHERS
333,M,Youth,Surfing,AUSTRALIA,11,2015,Bull shark,Unprovoked,N,OTHERS
336,F,Young Adult,Wading,USA,11,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
340,M,Adult,Surfing,SOUTH AFRICA,1,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
341,M,Youth,Surfing,USA,1,2015,Non defined,Unprovoked,N,OTHERS
342,M,Youth,Surfing,USA,1,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
345,M,Adult,Swimming,USA,1,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
348,M,Young Adult,Surfing,USA,1,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
352,M,Children,Wading,USA,1,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
353,M,Children,Surfing,USA,1,2015,Non defined,Unprovoked,N,OTHERS
354,M,Youth,Surfing,USA,9,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
357,M,Children,Surfing,USA,9,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
358,M,Young Adult,Spearfishing,USA,9,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
359,M,Children,Wading,USA,9,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
364,M,Adult,Surfing,AUSTRALIA,9,2015,Non defined,Unprovoked,N,OTHERS
365,F,Adult,Paddleboarding,USA,9,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
366,M,Young Adult,Fishing,USA,9,2015,Non defined,Provoked,N,LOWER EXTREMITIES
367,M,Adult,skiing,AUSTRALIA,9,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
369,F,Adult,Wading,THAILAND,9,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
371,F,Adult,Surfing,USA,8,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
372,M,Youth,Surfing,USA,8,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
375,M,Youth,Surfing,USA,8,2015,White shark,Unprovoked,N,OTHERS
376,F,Children,Walking,USA,8,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
377,M,Youth,Fishing,USA,8,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
379,M,Adult,Spearfishing,USA,8,2015,Non defined,Provoked,N,OTHERS
380,M,Adult,Surfing,AUSTRALIA,7,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
383,M,Young Adult,Surfing,USA,7,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
385,M,Adult,diving,AUSTRALIA,7,2015,White shark,Unprovoked,Y,FATAL
390,M,Adult,Surfing,USA,7,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
395,M,Adult,Surfing,AUSTRALIA,7,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
396,M,Young Adult,boarding,AUSTRALIA,7,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
397,M,Senior,Swimming,USA,7,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
399,M,Children,Playing,USA,6,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
400,M,Youth,Swimming,USA,6,2015,Bull shark,Unprovoked,N,OTHERS
401,M,Youth,Boarding,SOUTH AFRICA,6,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
403,M,Youth,Surfing,SOUTH AFRICA,6,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
404,M,Adult,Standing,USA,6,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
407,M,Children,Swimming,USA,6,2015,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
412,M,Youth,Wading,USA,6,2015,Bull shark,Unprovoked,N,OTHERS
413,F,Children,Wading,USA,6,2015,Bull shark,Unprovoked,N,LOWER EXTREMITIES
415,F,Children,boarding,USA,6,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
416,M,Children,Playing,USA,6,2015,Bull shark,Unprovoked,N,OTHERS
418,M,Adult,Surfing,REUNION,6,2015,Bull shark,Unprovoked,N,OTHERS
421,M,Youth,Spearfishing,FRENCH POLYNESIA,5,2015,Non defined,Unprovoked,N,OTHERS
428,M,Young Adult,Diving,SOUTH AFRICA,5,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
430,M,Adult,Wading,USA,4,2015,Non defined,Unprovoked,N,OTHERS
431,M,Young Adult,Surfing,AUSTRALIA,4,2015,White shark,Unprovoked,N,LOWER EXTREMITIES
432,M,Senior,skiing,AUSTRALIA,6,2015,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
434,M,Children,Surfing,REUNION,4,2015,Bull shark,Unprovoked,Y,FATAL
436,M,Senior,Spearfishing,USA,4,2015,Bull shark,Unprovoked,N,OTHERS
441,M,Adult,Standing,USA,3,2015,Tiger shark,Unprovoked,N,OTHERS
442,M,Children,feeding,FRENCH POLYNESIA,3,2015,Non defined,Unprovoked,N,OTHERS
447,F,Youth,Swimming,REUNION,2,2015,Tiger shark,Unprovoked,Y,FATAL
448,M,Adult,Surfing,AUSTRALIA,2,2015,Non defined,Unprovoked,Y,FATAL
449,M,Young Adult,Surfing,AUSTRALIA,2,2015,Non defined,Unprovoked,N,LOWER EXTREMITIES
451,M,Adult,Rowing,AUSTRALIA,1,2015,Bull shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
452,M,Youth,fishing,USA,1,2015,White shark,Provoked,N,OTHERS
460,F,Young Adult,Snorkeling,BAHAMAS,1,2015,White shark,Unprovoked,N,OTHERS
461,M,Youth,Surfing,SOUTH AFRICA,1,2015,Raggedtooth shark,Unprovoked,N,LOWER EXTREMITIES
464,M,Youth,Spearfishing,AUSTRALIA,12,2014,White shark,Unprovoked,Y,FATAL
467,M,Adult,Surfing,USA,12,2014,White shark,Unprovoked,N,LOWER EXTREMITIES
468,M,Children,Fishing,AUSTRALIA,12,2014,Non defined,Provoked,N,OTHERS
470,M,Youth,Spearfishing,AUSTRALIA,12,2014,Tiger shark,Unprovoked,Y,FATAL
476,M,Adult,Surfing,USA,11,2014,Non defined,Unprovoked,N,OTHERS
477,M,Adult,Snorkeling,USA,11,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
480,F,Young Adult,Surfing,USA,1,2014,Tiger shark,Unprovoked,N,OTHERS
486,F,Children,Surfing,AUSTRALIA,1,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
490,M,Young Adult,Surfing,USA,1,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
492,M,Youth,Surfing,USA,1,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
495,M,Young Adult,Surfing,USA,1,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
496,M,Youth,Surfing,AUSTRALIA,1,2014,White shark,Unprovoked,N,LOWER EXTREMITIES
500,M,Adult,Swimming,AUSTRALIA,9,2014,Non defined,Unprovoked,Y,FATAL
501,M,Adult,Fishing,USA,9,2014,Bull shark,Unprovoked,N,LOWER EXTREMITIES
502,F,Children,Kayaking,USA,9,2014,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
503,M,Adult,Fishing,USA,9,2014,White shark,Provoked,N,LOWER EXTREMITIES
505,F,Children,surfing,USA,8,2014,Non defined,Unprovoked,N,OTHERS
519,M,Children,Swimming,USA,8,2014,Bull shark,Unprovoked,N,LOWER EXTREMITIES
520,M,Children,boarding,USA,8,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
524,M,Youth,Surfing,SOUTH AFRICA,8,2014,White shark,Unprovoked,N,OTHERS
530,M,Adult,Swimming,USA,7,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
