,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
867,M,Young Adult,Surfing,USA,9,2011,Non defined,Unprovoked,N,OTHERS
869,M,Young Adult,Surfing,PAPUA NEW GUINEA,9,2011,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
871,M,Youth,boarding,AUSTRALIA,9,2011,White shark,Unprovoked,Y,FATAL
872,M,Youth,Surfing,USA,9,2011,Non defined,Unprovoked,N,LOWER EXTREMITIES
873,M,Youth,Surfing,USA,8,2011,Non defined,Unprovoked,N,LOWER EXTREMITIES
879,M,Adult,Surfing,SOUTH AFRICA,8,2011,White shark,Unprovoked,Y,FATAL
881,F,Children,Wading,USA,8,2011,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
883,M,Young Adult,Swimming,RUSSIA,8,2011,Non defined,Unprovoked,N,OTHERS
884,M,Young Adult,Surfing,FRENCH POLYNESIA,8,2011,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
886,M,Young Adult,Swimming,SEYCHELLES,8,2011,Bull shark,Unprovoked,Y,FATAL
893,M,Young Adult,Surfing,SOUTH AFRICA,7,2011,White shark,Unprovoked,N,LOWER EXTREMITIES
904,M,Youth,diving,SOUTH AFRICA,6,2011,Bull shark,Unprovoked,N,LOWER EXTREMITIES
905,F,Children,Playing,USA,6,2011,Bull shark,Unprovoked,N,LOWER EXTREMITIES
912,M,Young Adult,diving,USA,6,2011,Non defined,Unprovoked,N,OTHERS
915,M,Youth,Wading,USA,6,2011,White shark,Unprovoked,N,OTHERS
921,M,Young Adult,Spearfishing,SOUTH AFRICA,5,2011,Non defined,Unprovoked,Y,FATAL
923,M,Youth,Boarding,NEW CALEDONIA,5,2011,Tiger shark,Unprovoked,Y,FATAL
929,M,Youth,Washing,AUSTRALIA,4,2011,Non defined,Unprovoked,N,OTHERS
930,M,Adult,Surfing,USA,4,2011,Non defined,Unprovoked,N,OTHERS
931,M,Adult,Surfing,NEW ZEALAND,4,2011,Non defined,Unprovoked,N,OTHERS
936,M,Adult,Surfing,AUSTRALIA,3,2011,Bull shark,Unprovoked,N,OTHERS
939,F,Youth,Wakeboarding,AUSTRALIA,3,2011,Non defined,Unprovoked,N,OTHERS
942,M,Adult,Fishing,AUSTRALIA,2,2011,Bull shark,Provoked,N,OTHERS
943,M,Youth,Spearfishing,NEW CALEDONIA,2,2011,Non defined,Unprovoked,N,OTHERS
945,M,Adult,Diving,AUSTRALIA,2,2011,White shark,Unprovoked,Y,FATAL
950,F,Adult,Swimming,MEXICO,1,2011,Non defined,Unprovoked,N,LOWER EXTREMITIES
952,M,Adult,diving,BAHAMAS,1,2011,Non defined,Unprovoked,N,OTHERS
957,M,Youth,boarding,USA,12,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
960,F,Senior,Snorkeling,EGYPT,12,2010,White shark,Unprovoked,Y,FATAL
962,M,Adult,Snorkeling,EGYPT,12,2010,Non defined,Unprovoked,N,OTHERS
963,M,Adult,Snorkeling,EGYPT,12,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
964,F,Senior,Snorkeling,EGYPT,11,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
965,F,Adult,Snorkeling,EGYPT,11,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
972,F,Youth,Snorkeling,AUSTRALIA,1,2010,White shark,Unprovoked,N,OTHERS
976,M,Young Adult,diving,USA,1,2010,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
978,M,Youth,boarding,USA,1,2010,White shark,Unprovoked,Y,FATAL
980,M,Youth,Surfing,AUSTRALIA,1,2010,Bull shark,Unprovoked,N,LOWER EXTREMITIES
984,M,Young Adult,Surfing,USA,9,2010,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
987,M,Youth,Surfing,AUSTRALIA,9,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
996,M,Young Adult,Surfing,AUSTRALIA,8,2010,White shark,Unprovoked,Y,FATAL
1005,F,Adult,Standing,USA,8,2010,White shark,Unprovoked,N,OTHERS
1008,M,Children,Swimming,USA,7,2010,Non defined,Unprovoked,N,OTHERS
1009,F,Children,Swimming,USA,7,2010,Tiger shark,Unprovoked,N,OTHERS
1011,M,Children,Swimming,SPAIN,7,2010,Non defined,Provoked,N,LOWER EXTREMITIES
1015,M,Youth,Fishing,USA,7,2010,Non defined,Provoked,N,OTHERS
1016,M,Youth,Surfing,USA,7,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
1017,M,Adult,Paddleboarding,USA,7,2010,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1021,M,Youth,Swimming,VIETNAM,6,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1022,F,Youth,Boarding,USA,6,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
1025,M,Adult,Fishing,USA,5,2010,Non defined,Provoked,N,OTHERS
1026,F,Adult,Rescuing,VIETNAM,5,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1027,F,Adult,Swimming,VIETNAM,5,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1030,F,Children,Wading,USA,5,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
1031,M,Young Adult,Measuring,USA,4,2010,Non defined,Provoked,N,OTHERS
1032,M,Senior,Surfing,USA,4,2010,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1033,M,Young Adult,Surfing,SOUTH AFRICA,4,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1034,M,Youth,Swimming,EGYPT,4,2010,White shark,Unprovoked,N,LOWER EXTREMITIES
1035,M,Young Adult,Surfing,REUNION,3,2010,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1039,F,Adult,Snorkeling,AUSTRALIA,2,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1040,M,Adult,Surfing,AUSTRALIA,2,2010,Non defined,Unprovoked,N,LOWER EXTREMITIES
1042,M,Youth,boarding,AUSTRALIA,2,2010,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1046,F,Children,Boarding,NEW ZEALAND,2,2010,Non defined,Provoked,N,OTHERS
1051,M,Adult,Standing,SOUTH AFRICA,1,2010,White shark,Unprovoked,Y,FATAL
1060,M,Young Adult,Swimming,MOZAMBIQUE,12,2009,Non defined,Unprovoked,N,OTHERS
1062,M,Youth,Spearfishing,AUSTRALIA,12,2009,Bull shark,Unprovoked,N,OTHERS
1068,M,Adult,Diving,USA,12,2009,Tiger shark,Provoked,N,LOWER EXTREMITIES
1070,M,Children,Wading,USA,11,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1071,M,Young Adult,Fishing,USA,11,2009,Non defined,Unprovoked,N,OTHERS
1074,M,Youth,Surfing,USA,11,2009,White shark,Unprovoked,N,LOWER EXTREMITIES
1075,M,Young Adult,Kayaking,AUSTRALIA,11,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1077,M,Young Adult,Kayaking,AUSTRALIA,1,2009,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1081,M,Adult,Surfing,USA,1,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1083,M,Youth,Diving,SCOTLAND,1,2009,Non defined,Provoked,N,OTHERS
1086,M,Adult,Fishing,UNITED KINGDOM,1,2009,Non defined,Provoked,N,OTHERS
1096,M,Young Adult,Surfing,SOUTH AFRICA,8,2009,White shark,Unprovoked,Y,FATAL
1097,F,Youth,Swimming,USA,8,2009,White shark,Unprovoked,N,LOWER EXTREMITIES
1101,M,Adult,Fishing,USA,8,2009,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1115,F,Adult,Swimming,USA,7,2009,Non defined,Provoked,N,OTHERS
1116,M,Adult,Surfing,AUSTRALIA,6,2009,Non defined,Unprovoked,N,OTHERS
1122,F,Adult,Snorkeling,EGYPT,6,2009,White shark,Unprovoked,Y,FATAL
1123,M,Adult,Fishing,TAIWAN,5,2009,Non defined,Provoked,N,LOWER EXTREMITIES
1125,M,Young Adult,Surfing,USA,5,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1126,M,Adult,Surfing,USA,5,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1127,M,Adult,Surfing,USA,5,2009,Non defined,Unprovoked,N,OTHERS
1128,M,Young Adult,Spearfishing,GUAM,5,2009,Non defined,Provoked,N,OTHERS
1135,M,Young Adult,Surfing,USA,4,2009,Non defined,Unprovoked,N,OTHERS
1137,M,Adult,skiing,AUSTRALIA,4,2009,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1143,M,Youth,Surfing,AUSTRALIA,3,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1146,F,Youth,Surfing,USA,3,2009,White shark,Unprovoked,N,LOWER EXTREMITIES
1148,M,Adult,Swimming,USA,3,2009,Non defined,Unprovoked,N,OTHERS
1151,M,Adult,Fishing,SOUTH AFRICA,3,2009,Non defined,Provoked,N,OTHERS
1153,M,Youth,Surfing,AUSTRALIA,3,2009,Non defined,Unprovoked,N,LOWER EXTREMITIES
1156,M,Young Adult,Surfing,AUSTRALIA,2,2009,White shark,Unprovoked,N,OTHERS
1157,M,Young Adult,Diving,AUSTRALIA,2,2009,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1159,M,Adult,Surfing,AUSTRALIA,2,2009,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1163,M,Youth,Spearfishing,CUBA,1,2009,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1166,M,Young Adult,Swimming,SOUTH AFRICA,1,2009,Tiger shark,Unprovoked,Y,FATAL
1171,M,Youth,Snorkeling,AUSTRALIA,1,2009,Non defined,Unprovoked,N,OTHERS
1172,F,Children,Surfing,AUSTRALIA,1,2009,White shark,Unprovoked,N,LOWER EXTREMITIES
1173,M,Young Adult,Surfing,AUSTRALIA,1,2009,White shark,Unprovoked,N,OTHERS
1176,M,Adult,Swimming,NEW ZEALAND,1,2009,Non defined,Unprovoked,N,OTHERS
1181,M,Young Adult,Kayaking,AUSTRALIA,12,2008,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1182,M,Adult,Snorkeling,AUSTRALIA,12,2008,White shark,Unprovoked,Y,FATAL
1185,M,Youth,Fishing,SOUTH AFRICA,12,2008,Raggedtooth shark,Provoked,N,LOWER EXTREMITIES
1194,M,Young Adult,diving,AUSTRALIA,1,2008,Non defined,Provoked,N,OTHERS
1199,M,Adult,Spearfishing,CROATIA,1,2008,White shark,Unprovoked,N,OTHERS
1201,M,Adult,Surfing,USA,9,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1202,M,Adult,Swimming,AUSTRALIA,9,2008,Non defined,Provoked,N,OTHERS
1204,M,Adult,Surfing,USA,9,2008,Tiger shark,Unprovoked,N,OTHERS
1206,M,Adult,Surfing,AUSTRALIA,9,2008,Non defined,Unprovoked,N,OTHERS
1209,M,Adult,Surfing,USA,9,2008,White shark,Unprovoked,N,LOWER EXTREMITIES
1215,M,Young Adult,Surfing,USA,8,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1220,F,Adult,Treading,USA,8,2008,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1223,M,Young Adult,Surfing,AUSTRALIA,7,2008,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1231,F,Children,Wading,USA,7,2008,White shark,Unprovoked,N,LOWER EXTREMITIES
1233,M,Youth,Wading,USA,7,2008,White shark,Unprovoked,N,LOWER EXTREMITIES
1245,M,Adult,Swimming,USA,6,2008,Non defined,Unprovoked,N,OTHERS
1247,F,Adult,Kayaking,USA,6,2008,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1252,F,Youth,surfing,USA,6,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1253,M,Children,Swimming,BRAZIL,6,2008,Bull shark,Unprovoked,N,OTHERS
1256,M,Adult,Surfing,MEXICO,5,2008,Non defined,Unprovoked,N,OTHERS
1259,M,Adult,Swimming,AUSTRALIA,5,2008,White shark,Unprovoked,N,LOWER EXTREMITIES
1260,M,Adult,Fishing,NEW CALEDONIA,5,2008,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1263,M,Youth,Surfing,MEXICO,4,2008,Tiger shark,Unprovoked,Y,FATAL
1264,M,Youth,Surfing,USA,4,2008,White shark,Unprovoked,N,LOWER EXTREMITIES
1266,M,Young Adult,Swimming,NEW CALEDONIA,4,2008,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1268,M,Senior,Swimming,USA,4,2008,White shark,Unprovoked,Y,FATAL
1274,M,Young Adult,Surfing,USA,4,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1278,M,Youth,boarding,AUSTRALIA,4,2008,Bull shark,Unprovoked,Y,FATAL
1281,M,Adult,Surfing,USA,3,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1283,M,Children,Walking,USA,3,2008,Non defined,Unprovoked,N,LOWER EXTREMITIES
1285,M,Children,skiing,USA,3,2008,Non defined,Unprovoked,N,OTHERS
1286,M,Young Adult,Surfing,USA,3,2008,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1287,M,Adult,Diving,BAHAMAS,2,2008,Bull shark,Unprovoked,Y,LOWER EXTREMITIES
1294,M,Youth,attempting,AUSTRALIA,1,2008,Non defined,Provoked,N,LOWER EXTREMITIES
1302,M,Young Adult,Surfing,AUSTRALIA,12,2007,Non defined,Unprovoked,N,OTHERS
1305,M,Adult,Surfing,USA,12,2007,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1310,M,Children,Surfing,SOUTH AFRICA,11,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1311,M,Youth,Surfing,USA,11,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1312,M,Adult,Surfing,USA,11,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1313,M,Adult,Surfing,SOUTH AFRICA,11,2007,White shark,Unprovoked,N,OTHERS
1315,M,Young Adult,Floating,USA,1,2007,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1316,F,Adult,skiing,AUSTRALIA,1,2007,White shark,Unprovoked,N,OTHERS
1317,M,Young Adult,Spearfishing,AUSTRALIA,1,2007,Non defined,Unprovoked,N,OTHERS
1318,M,Youth,Surfing,USA,1,2007,White shark,Unprovoked,N,OTHERS
1319,M,Youth,Surfing,USA,1,2007,Non defined,Unprovoked,N,OTHERS
1322,F,Youth,Swimming,NEW CALEDONIA,9,2007,Tiger shark,Unprovoked,Y,FATAL
1323,F,Adult,Spearfishing,BAHAMAS,9,2007,Non defined,Unprovoked,N,OTHERS
1325,F,Children,Swimming,EGYPT,9,2007,White shark,Unprovoked,N,LOWER EXTREMITIES
1328,M,Youth,Surfing,USA,9,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1331,F,Children,Surfing,USA,9,2007,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1332,M,Children,Snorkeling,USA,9,2007,Non defined,Unprovoked,N,OTHERS
1336,F,Children,Jumping,USA,9,2007,Non defined,Unprovoked,N,OTHERS
1337,M,Adult,Swimming,USA,9,2007,Non defined,Unprovoked,N,OTHERS
1338,M,Youth,boarding,USA,8,2007,Tiger shark,Unprovoked,N,OTHERS
1339,M,Youth,Surfing,USA,8,2007,White shark,Unprovoked,N,OTHERS
1340,M,Adult,Surfing,USA,8,2007,Non defined,Unprovoked,N,OTHERS
1341,M,Young Adult,Surfing,USA,8,2007,Non defined,Unprovoked,N,OTHERS
1345,M,Youth,Surfing,USA,8,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1347,M,Youth,Floating,USA,8,2007,Bull shark,Unprovoked,N,OTHERS
1348,F,Youth,Swimming,USA,8,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1352,F,Youth,Undefined,USA,8,2007,Bull shark,Unprovoked,N,OTHERS
1357,M,Adult,Snorkeling,USA,7,2007,Non defined,Unprovoked,N,OTHERS
1358,M,Youth,Wading,AUSTRALIA,7,2007,Non defined,Unprovoked,N,OTHERS
1359,M,Children,Swimming,USA,7,2007,Non defined,Unprovoked,N,OTHERS
1362,F,Young Adult,Wading,USA,7,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1363,F,Adult,Spearfishing,BAHAMAS,7,2007,Bull shark,Unprovoked,N,OTHERS
1369,M,Youth,Surfing,USA,6,2007,White shark,Unprovoked,N,OTHERS
1375,F,Adult,Reviving,USA,5,2007,Non defined,Provoked,N,OTHERS
1376,M,Adult,Fishing,ENGLAND,5,2007,Non defined,Provoked,N,OTHERS
1377,F,Adult,Wading,AUSTRALIA,5,2007,Non defined,Unprovoked,N,OTHERS
1378,M,Youth,Surfing,AUSTRALIA,5,2007,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1379,F,Youth,Surfing,USA,5,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1382,F,Adult,Snorkeling,USA,5,2007,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1383,M,Senior,Swimming,USA,5,2007,Non defined,Unprovoked,N,OTHERS
1386,F,Children,Swimming,AUSTRALIA,4,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1387,M,Children,boarding,USA,4,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1388,M,Youth,Surfing,USA,4,2007,White shark,Unprovoked,N,OTHERS
1390,M,Young Adult,Surfing,NEW CALEDONIA,4,2007,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1392,M,Young Adult,Surfing,USA,3,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1395,M,Children,Surfing,USA,3,2007,Non defined,Unprovoked,N,OTHERS
1396,F,Adult,Surfing,AUSTRALIA,3,2007,Non defined,Unprovoked,N,OTHERS
1398,F,Adult,Swimming,AUSTRALIA,3,2007,Non defined,Unprovoked,N,LOWER EXTREMITIES
1404,M,Young Adult,Spearfishing,NEW CALEDONIA,1,2007,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1406,M,Adult,Diving,AUSTRALIA,1,2007,White shark,Unprovoked,N,OTHERS
1408,M,Youth,Swimming,SOUTH AFRICA,1,2007,Tiger shark,Unprovoked,Y,FATAL
1411,M,Youth,Surfing,USA,1,2007,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1412,M,Young Adult,Surfing,AUSTRALIA,12,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1413,M,Children,Surfing,NEW ZEALAND,12,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1414,M,Adult,Surfing,USA,12,2006,White shark,Unprovoked,N,OTHERS
1415,M,Young Adult,Fishing,SOUTH AFRICA,12,2006,Raggedtooth shark,Provoked,N,OTHERS
1416,M,Youth,boarding,AUSTRALIA,12,2006,White shark,Unprovoked,N,LOWER EXTREMITIES
1418,M,Young Adult,Swimming,USA,11,2006,Non defined,Unprovoked,N,OTHERS
1420,M,Youth,Surfing,USA,1,2006,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1424,M,Youth,Playing,USA,1,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1431,M,Adult,Swimming,USA,9,2006,Non defined,Unprovoked,N,OTHERS
1435,M,Young Adult,Standing,USA,9,2006,Non defined,Unprovoked,N,OTHERS
1446,M,Youth,Lifesaving,SOUTH AFRICA,8,2006,White shark,Unprovoked,N,LOWER EXTREMITIES
1450,M,Adult,Surfing,USA,7,2006,White shark,Unprovoked,N,OTHERS
1453,M,Youth,skiing,SOUTH AFRICA,7,2006,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1454,M,Children,Surfing,USA,7,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1457,M,Adult,Standing,USA,7,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1463,F,Children,boarding,USA,7,2006,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1470,F,Youth,Surfing,USA,6,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1473,M,Youth,Surfing,USA,6,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1474,F,Children,Playing,USA,6,2006,White shark,Unprovoked,N,LOWER EXTREMITIES
1475,M,Adult,Surfing,AUSTRALIA,6,2006,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1476,M,Young Adult,Spearfishing,USA,5,2006,Tiger shark,Unprovoked,N,OTHERS
1479,M,Youth,Spearfishing,USA,5,2006,Non defined,Provoked,N,LOWER EXTREMITIES
1481,F,Children,diving,USA,5,2006,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1484,M,Adult,Snorkeling,AUSTRALIA,5,2006,Non defined,Provoked,N,OTHERS
1488,M,Young Adult,Fishing,USA,4,2006,Bull shark,Provoked,N,LOWER EXTREMITIES
1489,M,Youth,Surfing,AUSTRALIA,4,2006,Non defined,Unprovoked,N,LOWER EXTREMITIES
1490,M,Youth,boarding,SOUTH AFRICA,4,2006,Raggedtooth shark,Unprovoked,N,LOWER EXTREMITIES
1491,M,Young Adult,Swimming,BRAZIL,4,2006,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1494,F,Young Adult,Surfing,USA,3,2006,Tiger shark,Unprovoked,N,OTHERS
1496,M,Youth,Surfing,FIJI,3,2006,Tiger shark,Unprovoked,N,OTHERS
1497,M,Youth,Surfing,AUSTRALIA,3,2006,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1498,F,Youth,Standing,USA,2,2006,Non defined,Unprovoked,N,OTHERS
1503,M,Youth,Surfing,SOUTH AFRICA,2,2006,Raggedtooth shark,Unprovoked,N,OTHERS
1504,F,Youth,Swimming,TONGA,2,2006,Tiger shark,Unprovoked,Y,LOWER EXTREMITIES
1505,M,Adult,Kayaking,USA,2,2006,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1510,M,Adult,diving,AUSTRALIA,1,2006,White shark,Unprovoked,N,OTHERS
1512,F,Youth,Swimming,AUSTRALIA,1,2006,Bull shark,Unprovoked,Y,FATAL
1513,M,Youth,Surfing,USA,1,2006,White shark,Unprovoked,N,OTHERS
1515,M,Young Adult,Surfing,USA,12,2005,White shark,Unprovoked,N,LOWER EXTREMITIES
1516,M,Young Adult,Swimming,USA,12,2005,Tiger shark,Unprovoked,N,OTHERS
1518,M,Adult,Spearfishing,AUSTRALIA,12,2005,White shark,Unprovoked,N,OTHERS
1521,M,Youth,Surfing,USA,11,2005,White shark,Unprovoked,N,OTHERS
1523,M,Youth,Surfing,AUSTRALIA,11,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1526,M,Children,Surfing,USA,11,2005,White shark,Unprovoked,N,LOWER EXTREMITIES
1529,M,Young Adult,Fishing,SOUTH AFRICA,11,2005,Raggedtooth shark,Provoked,N,LOWER EXTREMITIES
1530,M,Youth,Surfing,USA,11,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1532,M,Young Adult,Surfing,USA,11,2005,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1534,M,Adult,Standing,ST. MAARTIN,1,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1535,M,Youth,Standing,SOUTH AFRICA,1,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1536,M,Adult,Surfing,USA,1,2005,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1537,F,Youth,Surfing,USA,1,2005,White shark,Unprovoked,N,LOWER EXTREMITIES
1539,M,Youth,Surfing,USA,1,2005,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1540,F,Adult,diving,GRAND CAYMAN,1,2005,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1543,M,Adult,skiing,SOUTH AFRICA,1,2005,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1545,M,Young Adult,Surfing,AUSTRALIA,9,2005,White shark,Unprovoked,N,LOWER EXTREMITIES
1546,M,Adult,Surfing,AUSTRALIA,9,2005,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1548,F,Senior,surfing,USA,9,2005,White shark,Unprovoked,N,OTHERS
1551,F,Youth,Wading,USA,9,2005,Bull shark,Unprovoked,N,OTHERS
1552,M,Adult,Surfing,AUSTRALIA,9,2005,White shark,Unprovoked,N,OTHERS
1555,M,Youth,diving,AUSTRALIA,8,2005,White shark,Unprovoked,Y,FATAL
1556,M,Adult,Surfing,USA,8,2005,White shark,Unprovoked,N,LOWER EXTREMITIES
1558,M,Children,Swimming,USA,8,2005,Non defined,Unprovoked,N,OTHERS
1561,M,Youth,Surfing,USA,8,2005,Non defined,Unprovoked,N,OTHERS
1570,M,Youth,Swimming,USA,7,2005,Non defined,Unprovoked,N,OTHERS
1571,F,Children,Holding,USA,7,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1573,M,Youth,Fishing,USA,6,2005,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1574,F,Children,Swimming,USA,6,2005,Bull shark,Unprovoked,Y,LOWER EXTREMITIES
1575,F,Children,Swimming,VANUATU,6,2005,Non defined,Unprovoked,Y,FATAL
1578,M,Youth,Swimming,USA,6,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1582,M,Youth,Spearfishing,SOUTH AFRICA,6,2005,White shark,Unprovoked,Y,FATAL
1584,M,Young Adult,Swimming,USA,5,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1586,M,Young Adult,Surfing,SOUTH AFRICA,5,2005,Raggedtooth shark,Unprovoked,N,LOWER EXTREMITIES
1591,M,Adult,Surfing,USA,5,2005,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1592,M,Young Adult,Fishing,AUSTRALIA,4,2005,Non defined,Provoked,N,OTHERS
1595,M,Adult,Surfing,AUSTRALIA,4,2005,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1601,M,Young Adult,Surfing,SOUTH AFRICA,3,2005,Non defined,Unprovoked,N,LOWER EXTREMITIES
1604,M,Young Adult,Snorkeling,AUSTRALIA,3,2005,White shark,Unprovoked,Y,FATAL
1605,M,Adult,Diving,USA,3,2005,Tiger shark,Provoked,N,OTHERS
1617,M,Adult,Fishing,NEW ZEALAND,1,2005,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1619,M,Youth,Scurfing,AUSTRALIA,12,2004,White shark,Unprovoked,Y,FATAL
1620,M,Adult,Spearfishing,AUSTRALIA,12,2004,Bull shark,Unprovoked,Y,LOWER EXTREMITIES
1621,M,Youth,Surfing,SOUTH AFRICA,11,2004,Raggedtooth shark,Unprovoked,N,LOWER EXTREMITIES
1623,F,Senior,Swimming,SOUTH AFRICA,11,2004,White shark,Unprovoked,Y,FATAL
1624,lli,Adult,Surfing,USA,11,2004,White shark,Unprovoked,N,LOWER EXTREMITIES
1627,M,Adult,Diving,CUBA,1,2004,Bull shark,Unprovoked,N,OTHERS
1629,M,Adult,Chumming,SOUTH AFRICA,1,2004,White shark,Unprovoked,N,LOWER EXTREMITIES
1630,M,Adult,Surfing,AUSTRALIA,1,2004,Non defined,Unprovoked,N,LOWER EXTREMITIES
1632,M,Young Adult,Spearfishing,USA,1,2004,Tiger shark,Unprovoked,N,OTHERS
1633,M,Young Adult,Surfing,SOUTH AFRICA,1,2004,Raggedtooth shark,Unprovoked,N,LOWER EXTREMITIES
1634,M,Youth,boarding,REUNION,1,2004,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1638,M,Young Adult,Surfing,USA,9,2004,White shark,Unprovoked,N,LOWER EXTREMITIES
