Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,All
Silky,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
Small,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
Spinner,0.0,0.0,0.0,0.47,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
Spiny dogfish,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
Spotted Wobbegong,0.0,0.09,0.19,0.0,0.19,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
Tiger,0.0,0.0,0.09,0.19,0.57,1.04,1.04,1.9,0.57,2.47,1.14,1.61,1.04,1.04,0.66,0.38,0.09,0.0,0.0,0.19,0.0,0.0,0.0,0.0,14.06
Whale,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.19,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
White,0.0,0.09,0.09,0.09,0.38,0.57,1.23,3.23,1.42,3.23,1.61,3.89,3.99,1.14,3.99,5.03,0.38,2.28,1.14,2.37,0.09,0.28,0.38,0.09,37.04
Wobbegong,0.0,0.09,0.19,0.57,0.38,0.47,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Zambezi,0.0,0.0,0.19,1.23,1.23,1.9,1.33,0.95,0.47,1.33,0.38,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21
All,0.09,1.8,3.32,6.93,7.6,10.45,8.74,10.35,4.27,10.07,3.51,6.84,5.51,2.66,4.84,5.6,0.57,2.28,1.14,2.56,0.09,0.28,0.38,0.09,100.0
