Year,Country,Area,Activity,Sex,Fatal (Y/N)
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,AUSTRALIA,New South Wales,Boarding,M,N
2015,USA,North Carolina,Swimming,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,South Carolina,Other,M,N
2015,USA,North Carolina,Swimming,M,N
2015,SOUTH AFRICA,Western Cape Province,Boarding,M,N
2015,USA,Florida,Swimming,F,N
2015,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2015,USA,South Carolina,Wading,M,N
2015,AUSTRALIA,Western Australia,Swimming,M,N
2015,USA,North Carolina,Surfing,M,N
2015,USA,North Carolina,Swimming,M,N
2015,AUSTRALIA,Western Australia,Surfing,F,N
2015,USA,South Carolina,Wading,M,N
2015,USA,Florida,Swimming,M,N
2015,USA,North Carolina,Wading,M,N
2015,USA,North Carolina,Wading,F,N
2015,USA,California,Unknown,F,N
2015,USA,North Carolina,Boarding,F,N
2015,USA,Florida,Other,M,N
2015,USA,Florida,Other,F,N
2015,USA,Florida,Wading,F,N
2015,USA,Florida,Wading,F,N
2015,USA,Florida,Swimming,F,N
2015,USA,Florida,Surfing,M,N
2015,USA,South Carolina,Unknown,M,N
2015,USA,Florida,Swimming,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,SOUTH AFRICA,Eastern Cape Province,Diving,M,N
2015,USA,Hawaii,Swimming,F,Y
2015,USA,Florida,Wading,M,N
2015,AUSTRALIA,South Australia,Surfing,M,N
2015,AUSTRALIA,New South Wales,Water-Ski,M,N
2015,USA,Florida,Other,M,N
2015,AUSTRALIA,New South Wales,Boarding,M,N
2015,BRAZIL,Pernambuco,Surfing,M,N
2015,USA,Florida,Fishing,M,N
2015,SOUTH AFRICA,Eastern Cape Province,Fishing,M,N
2015,USA,Hawaii,Swimming,M,N
2015,AUSTRALIA,New South Wales,Fishing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,Y
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,AUSTRALIA,Queensland,Paddling,M,N
2015,USA,Hawaii,Fishing,M,N
2015,AUSTRALIA,New South Wales,Surfing,M,N
2015,USA,Florida,Fishing,M,N
2015,AUSTRALIA,New South Wales,Surfing,F,N
2015,AUSTRALIA,New South Wales,Fishing,M,N
2015,AUSTRALIA,New South Wales,Other,M,N
2015,USA,Florida,Swimming,M,N
2015,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2015,USA,Florida,Unknown,M,N
2014,AUSTRALIA,Western Australia,Fishing,M,Y
2014,USA,California,Surfing,M,N
2014,AUSTRALIA,Victoria,Fishing,M,N
2014,AUSTRALIA,Queensland,Fishing,M,Y
2014,AUSTRALIA,Western Australia,Surfing,M,N
2014,AUSTRALIA,Western Australia,Fishing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,Hawaii,Swimming,M,N
2014,AUSTRALIA,New South Wales,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,Hawaii,Surfing,F,N
2014,AUSTRALIA,New South Wales,Surfing,M,N
2014,USA,Hawaii,Boarding,F,N
2014,USA,Hawaii,Boarding,M,N
2014,USA,California,Paddling,F,N
2014,USA,Hawaii,Surfing,M,N
2014,AUSTRALIA,New South Wales,Surfing,F,N
2014,USA,South Carolina,Wading,F,N
2014,USA,Florida,Surfing,F,N
2014,USA,Florida,Fishing,F,N
2014,AUSTRALIA,Western Australia,Paddling,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,California,Paddling,M,N
2014,USA,California,Paddling,M,N
2014,USA,California,Surfing,M,N
2014,AUSTRALIA,Western Australia,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,California,Surfing,M,N
2014,AUSTRALIA,New South Wales,Swimming,M,Y
2014,USA,Florida,Fishing,M,N
2014,USA,Florida,Surfing,F,N
2014,USA,Florida,Surfing,M,N
2014,USA,North Carolina,Surfing,M,N
2014,USA,South Carolina,Wading,F,N
2014,USA,Florida,Fishing,M,N
2014,AUSTRALIA,Western Australia,Fishing,M,N
2014,USA,Florida,Wading,M,N
2014,USA,Florida,Unknown,M,N
2014,USA,Florida,Swimming,F,N
2014,USA,South Carolina,Boarding,M,N
2014,USA,Florida,Swimming,F,N
2014,USA,Florida,Surfing,M,N
2014,USA,Florida,Boarding,M,N
2014,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2014,USA,North Carolina,Swimming,M,N
2014,USA,Florida,Wading,M,N
2014,USA,Hawaii,Swimming,M,N
2014,USA,Florida,Swimming,M,N
2014,USA,North Carolina,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,California,Swimming,M,N
2014,USA,California,Surfing,M,N
2014,USA,South Carolina,Surfing,M,N
2014,AUSTRALIA,South Australia,Surfing,M,N
2014,AUSTRALIA,South Australia,Boarding,M,N
2014,AUSTRALIA,Western Australia,Other,M,N
2014,AUSTRALIA,South Australia,Boarding,M,N
2014,USA,Texas,Other,F,N
2014,USA,Florida,Swimming,F,N
2014,AUSTRALIA,New South Wales,Surfing,M,N
2014,AUSTRALIA,Queensland,Other,F,N
2014,AUSTRALIA,New South Wales,Other,M,N
2014,USA,Florida,Boarding,F,N
2014,AUSTRALIA,South Australia,Surfing,M,N
2014,USA,Florida,Wading,F,N
2014,USA,Florida,Diving,M,N
2014,USA,South Carolina,Swimming,F,N
2014,USA,Florida,Surfing,M,N
2014,AUSTRALIA,Western Australia,Fishing,M,N
2014,USA,Florida,Swimming,M,N
2014,USA,Florida,Wading,M,N
2014,SOUTH AFRICA,Eastern Cape Province,Fishing,M,N
2014,USA,Florida,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,AUSTRALIA,New South Wales,Swimming,F,Y
2014,AUSTRALIA,Western Australia,Diving,M,Y
2014,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y
2014,USA,Florida,Surfing,M,N
2014,USA,Florida,Surfing,M,N
2014,AUSTRALIA,Victoria,Surfing,M,N
2014,AUSTRALIA,New South Wales,Unknown,F,N
2014,AUSTRALIA,New South Wales,Swimming,M,N
2014,USA,Florida,Surfing,M,N
2014,AUSTRALIA,South Australia,Fishing,M,Y
2014,AUSTRALIA,New South Wales,Fishing,M,N
2013,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2013,USA,Hawaii,Boarding,M,N
2013,USA,Florida,Surfing,M,N
2013,AUSTRALIA,New South Wales,Surfing,M,N
2013,USA,Hawaii,Fishing,M,Y
2013,AUSTRALIA,New South Wales,Boarding,M,Y
2013,USA,Hawaii,Swimming,F,N
2013,AUSTRALIA,Western Australia,Surfing,M,Y
2013,AUSTRALIA,Western Australia,Surfing,M,N
2013,USA,Florida,Surfing,M,N
2013,USA,Hawaii,Boarding,M,N
2013,AUSTRALIA,Western Australia,Swimming,F,N
2013,AUSTRALIA,Western Australia,Diving,M,N
2013,AUSTRALIA,New South Wales,Surfing,M,N
2013,USA,Hawaii,Diving,M,N
2013,USA,Hawaii,Surfing,M,N
2013,USA,Florida,Wading,M,N
