,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
1063,2008.03.07,Mar,2008,Unprovoked,USA,California," Huntington Beach, Orange County",Surfing,M,27,N
1064,2008.02.24,Feb,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,49,Y
1065,2008.02.21.R,Feb,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,M,26,N
1066,2008.02.15,Feb,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,25,N
1067,2008.02.07,Feb,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,14,N
1069,2008.01.29,Jan,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,42,N
1070,2008.01.27,Jan,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,N
1073,2008.01.10,Jan,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,20,N
1076,2007.12.21,Dec,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,M,24,N
1077,2007.12.19,Dec,2007,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,Unknown,Scuba diving,M,53,Y
1078,2007.12.18,Dec,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,31,N
1080,2007.12.14,Dec,2007,Invalid,AUSTRALIA,New South Wales,Bondi ,Swimming,M,34,N
1081,2007.12.10,Dec,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,52,N
1083,2007.12.07,Dec,2007,Unprovoked,BRAZIL,Pernambuco,Itamarac�,Removing fish from a trap,M,28,N
1084,2007.11.18,Nov,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,32,N
1086,2007.11.07,Nov,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,M,14,N
1087,2007.11.06,Nov,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,N
1088,2007.11.04,Nov,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,42,N
1089,2007.11.03,Nov,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,M,37,N
1091,2007.10.29,Oct,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,M,32,N
1092,2007.10.15,Oct,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,52,N
1093,2007.10.13,Oct,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,M,31,N
1094,2007.10.07,Oct,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,N
1095,2007.10.06,Oct,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,16,N
1098,2007.09.30.a,Sep,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,23,Y
1099,2007.09.28,Sep,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,F,48,N
1104,2007.09.20,Sep,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,N
1106,2007.09.16.b,Sep,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,M,56,N
1108,2007.09.13,Sep,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,14,N
1109,2007.09.08,Sep,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,58,N
1110,2007.09.05,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,36,N
1111,2007.09.04,Sep,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,M,15,N
1112,2007.09.03.b,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,12,N
1113,2007.09.03.a,Sep,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,58,N
1114,2007.08.28.b,Aug,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,15,N
1115,2007.08.28.a,Aug,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,24,N
1116,2007.08.26,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,54,N
1117,2007.08.25,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,N
1120,2007.08.19.c,Aug,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,52,N
1121,2007.08.19.b,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,N
1122,2007.08.19.a.,Aug,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,7,N
1123,2007.08.15,Aug,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,20,N
1124,2007.08.12,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,15,N
1125,2007.08.11,Aug,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,19,N
1126,2007.08.09.b,Aug,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,30,N
1127,2007.08.09.a,Aug,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,9,N
1128,2007.08.07,Aug,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,19,N
1129,2007.07.29,Jul,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,51,N
1130,2007.07.28,Jul,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,M,20,N
1133,2007.07.19.b,Jul,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, O�ahu",Snorkeling,M,36,N
1134,2007.07.19.a,Jul,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,M,15,N
1135,2007.07.18.b,Jul,2007,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,14,N
1136,2007.07.18.a,Jul,2007,Provoked,NORWAY,Oslo Fjord,Sj�strand,Scuba diving,M,48,N
1137,2007.07.17.b,Jul,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,F,43,N
1138,2007.07.17.a,Jul,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,F,30,N
1139,2007.07.10,Jul,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,48,N
1140,2007.07.05,Jul,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,N
1141,2007.07.04,Jul,2007,Unprovoked,REUNION,Unknown,Boucan Canot,Body boarding,M,17,N
1145,2007.06.25,Jun,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,N
